date,day,type,index_future,index_option,stock_future,stock_option
2019-10-03,Thursday,weekly,False,True,False,False
2019-10-10,Thursday,weekly,False,True,False,False
2019-10-17,Thursday,weekly,False,True,False,False
2019-10-24,Thursday,weekly,False,True,False,False
2019-10-31,Thursday,monthly,True,True,True,True
2019-11-07,Thursday,weekly,False,True,False,False
2019-11-14,Thursday,weekly,False,True,False,False
2019-11-21,Thursday,weekly,False,True,False,False
2019-11-28,Thursday,monthly,True,True,True,True
2019-12-05,Thursday,weekly,False,True,False,False
2019-12-12,Thursday,weekly,False,True,False,False
2019-12-19,Thursday,weekly,False,True,False,False
2019-12-26,Thursday,monthly,True,True,True,True
2020-01-02,Thursday,weekly,False,True,False,False
2020-01-09,Thursday,weekly,False,True,False,False
2020-01-16,Thursday,weekly,False,True,False,False
2020-01-23,Thursday,weekly,False,True,False,False
2020-01-30,Thursday,monthly,True,True,True,True
2020-02-06,Thursday,weekly,False,True,False,False
2020-02-13,Thursday,weekly,False,True,False,False
2020-02-20,Thursday,weekly,False,True,False,False
2020-02-27,Thursday,monthly,True,True,True,True
2020-03-05,Thursday,weekly,False,True,False,False
2020-03-12,Thursday,weekly,False,True,False,False
2020-03-19,Thursday,weekly,False,True,False,False
2020-03-26,Thursday,monthly,True,True,True,True
2020-04-01,Wednesday,weekly,False,True,False,False
2020-04-09,Thursday,weekly,False,True,False,False
2020-04-16,Thursday,weekly,False,True,False,False
2020-04-23,Thursday,weekly,False,True,False,False
2020-04-30,Thursday,monthly,True,True,True,True
2020-05-07,Thursday,weekly,False,True,False,False
2020-05-14,Thursday,weekly,False,True,False,False
2020-05-21,Thursday,weekly,False,True,False,False
2020-05-28,Thursday,monthly,True,True,True,True
2020-06-04,Thursday,weekly,False,True,False,False
2020-06-11,Thursday,weekly,False,True,False,False
2020-06-18,Thursday,weekly,False,True,False,False
2020-06-25,Thursday,monthly,True,True,True,True
2020-07-02,Thursday,weekly,False,True,False,False
2020-07-09,Thursday,weekly,False,True,False,False
2020-07-16,Thursday,weekly,False,True,False,False
2020-07-23,Thursday,weekly,False,True,False,False
